Dishes & Customizations Breakdown,Type,item_id,Category,Is_Drink,Is_Dessert,Is_Cold,Is_Signature
fluffy jin xuan tea,dish,fluffy jin xuan tea,fluffy series,1,0,0.5,0
fluffy oolong tea,dish,fluffy oolong tea,fluffy series,1,0,0.5,0
almond pudding qt,dish,almond pudding qt,qt cup,0,1,1.0,0
caramel pudding qt,dish,caramel pudding qt,qt cup,0,1,1.0,0
taro pste qt,dish,taro pste qt,qt cup,0,1,1.0,0
black sugar boba (topping),dish,black sugar boba (topping),topping,0,1,0.5,0
passion fruit sorbet c,dish,passion fruit sorbet c,passion fruit sorbet,0,1,1.0,0
grassjelly slush,dish,grassjelly slush,shaved ice,0,1,1.0,0
passion fruit sorbet a,dish,passion fruit sorbet a,passion fruit sorbet,0,1,1.0,0
passion fruit sorbet b,dish,passion fruit sorbet b,passion fruit sorbet,0,1,1.0,0
lychee jelly (topping),dish,lychee jelly (topping),topping,0,1,0.5,0
crystalmochi set,dish,crystalmochi set,small bites,0,1,0.5,0
crystal mochi milk shaved ice(l),dish,crystal mochi milk shaved ice(l),shaved ice,0,1,1.0,0
crystal mochimilk shaved ice(m),dish,crystal mochimilk shaved ice(m),shaved ice,0,1,1.0,0
caramel pudding milk tea,dish,caramel pudding milk tea,milk teas,1,0,0.5,0
fluffy grass jelly slush,dish,fluffy grass jelly slush,slush series,0,1,1.0,0
matcha latte smoothie,dish,matcha latte smoothie,create your own (base),1,0,0.5,0
fresh milk oolong tea,dish,fresh milk oolong tea,fresh milk,1,0,0.5,0
crystal &q mochi set,dish,crystal &q mochi set,small bites,0,1,0.5,0
crystal mochi (1 piece),dish,crystal mochi (1 piece),topping,0,1,0.5,0
hot coco sago signature,dish,hot coco sago signature,hot coco sago series,0,1,0.0,1
melon jelly (topping),dish,melon jelly (topping),topping,0,1,0.5,0
peanuts (topping),dish,peanuts (topping),topping,0,1,0.5,0
rice balls (topping),dish,rice balls (topping),topping,0,1,1.0,0
hot coco sago b,dish,hot coco sago b,hot coco sago series,0,1,0.0,0
crystal mochi& mung beancake set,dish,crystal mochi& mung beancake set,small bites,0,1,0.5,0
passion fruit sorbet base,dish,passion fruit sorbet base,passion fruit sorbet,0,1,1.0,0
hot coco sago c,dish,hot coco sago c,hot coco sago series,0,1,0.0,0
hot original coco sago drink,dish,hot original coco sago drink,hot coco sago series,1,0,0.0,0
hot mini q coco sago drink,dish,hot mini q coco sago drink,hot coco sago series,1,0,0.0,0
strawberry jin xuan oolong tea,dish,strawberry jin xuan oolong tea,fruit series,1,0,0.5,0
strawberry passion fruit green tea,dish,strawberry passion fruit green tea,fruit series,1,0,0.5,0
strawberry green tea,dish,strawberry green tea,fruit series,1,0,0.5,0
strawberry orange green tea,dish,strawberry orange green tea,fruit series,1,0,0.5,0
hot coco sago a,dish,hot coco sago a,hot coco sago series,0,1,0.0,0
fresh milk tea w. taro paste (1 scoop),dish,fresh milk tea w. taro paste,fresh milk,1,0,0.5,0
fluffy thai milk tea,dish,fluffy thai milk tea,thai milk tea series,1,0,0.5,0
thai milk tea,dish,thai milk tea,thai milk tea series,1,0,0.5,0
fluffy thai milk tea with mini q,dish,fluffy thai milk tea with mini q,thai milk tea series,1,0,0.5,0
fluffy thai milk tea with lychee jelly (1 scoop),dish,fluffy thai milk tea with lychee jelly,thai milk tea series,1,0,0.5,0
fluffy thai milk tea with sago,dish,fluffy thai milk tea with sago,thai milk tea series,1,0,0.5,0
fluffy thai milk tea with sago&grass jelly (1 slice),dish,fluffy thai milk tea with sago&grass jelly,thai milk tea series,1,0,0.5,0
thai milk tea shaved ice,dish,thai milk tea shaved ice ,thai milk tea series,1,0,1.0,0
thai milk tea tofu pudding,dish,thai milk tea tofu pudding,thai milk tea series,1,0,0.5,0
q mochi set,dish,q mochi set,small bites,0,1,0.5,0
